GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-units,com.irurueta.units,MagneticFluxDensityUnit,0,74,0,0,0,8,0,1,0,1
com.irurueta:irurueta-units,com.irurueta.units,AngularSpeed,0,323,0,6,0,69,0,28,0,25
com.irurueta:irurueta-units,com.irurueta.units,BuildInfo,12,113,2,4,4,30,2,11,0,10
com.irurueta:irurueta-units,com.irurueta.units,Speed,0,323,0,6,0,70,0,28,0,25
com.irurueta:irurueta-units,com.irurueta.units,Time,0,323,0,6,0,70,0,28,0,25
com.irurueta:irurueta-units,com.irurueta.units,Angle,0,323,0,6,0,69,0,28,0,25
com.irurueta:irurueta-units,com.irurueta.units,UnknownUnitException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-units,com.irurueta.units,TemperatureFormatter,1,102,1,20,0,26,1,21,0,11
com.irurueta:irurueta-units,com.irurueta.units,SurfaceConverter,0,238,0,26,0,76,0,54,0,30
com.irurueta:irurueta-units,com.irurueta.units,FrequencyFormatter,0,193,0,37,0,47,0,33,0,13
com.irurueta:irurueta-units,com.irurueta.units,UnitLocale,0,26,0,6,0,9,0,5,0,2
com.irurueta:irurueta-units,com.irurueta.units,Weight,0,323,0,6,0,70,0,28,0,25
com.irurueta:irurueta-units,com.irurueta.units,WeightConverter,0,223,0,24,0,71,0,50,0,28
com.irurueta:irurueta-units,com.irurueta.units,SurfaceFormatter,0,349,2,83,0,82,2,59,0,13
com.irurueta:irurueta-units,com.irurueta.units,SurfaceUnit,0,223,0,8,0,23,0,10,0,6
com.irurueta:irurueta-units,com.irurueta.units,DistanceFormatter,0,289,0,60,0,67,0,46,0,13
com.irurueta:irurueta-units,com.irurueta.units,AngularAccelerationFormatter,8,82,0,16,2,23,1,18,1,10
com.irurueta:irurueta-units,com.irurueta.units,AngularAccelerationUnit,0,24,0,0,0,3,0,1,0,1
com.irurueta:irurueta-units,com.irurueta.units,DistanceConverter,0,163,0,16,0,51,0,34,0,20
com.irurueta:irurueta-units,com.irurueta.units,Distance,0,323,0,6,0,70,0,28,0,25
